17:47:39.923581657 : vetrnik/tele/availability online
17:47:39.923845044 : vetrnik/tele/power_board/valid 1
17:47:39.923900025 : vetrnik/tele/power_board/time 2537
17:47:39.923928785 : vetrnik/tele/power_board/mode 0
17:47:39.923954229 : vetrnik/tele/power_board/duty 0
17:47:39.923978969 : vetrnik/tele/power_board/RPM 0
17:47:39.924003377 : vetrnik/tele/power_board/voltage 5.0
17:47:39.924027932 : vetrnik/tele/power_board/current 0.000
17:47:39.924052099 : vetrnik/tele/power_board/enabled 0
17:47:39.924076654 : vetrnik/tele/power_board/enabled/hardware 1
17:47:39.924101561 : vetrnik/tele/power_board/enabled/software 0
17:47:39.924125783 : vetrnik/tele/power_board/fan 0
17:47:39.924150209 : vetrnik/tele/power_board/error_count 0
17:47:39.924174431 : vetrnik/tele/power_board/emergency 0
17:47:39.924198301 : vetrnik/tele/power_board/OCP_max_duty 255
17:47:39.924222505 : vetrnik/tele/power_board/temperature/heatsink 28.8
17:47:39.924246968 : vetrnik/tele/power_board/temperature/rectifier 29.1
17:47:39.924271282 : vetrnik/tele/power_board/power 0.0
17:47:39.924294579 : vetrnik/tele/power_board/last5m 0
17:47:39.924318134 : vetrnik/tele/control/strategy control_shorted
17:47:39.924341504 : vetrnik/tele/control/contactor 255
17:47:39.924364634 : vetrnik/tele/stats/energy 0.000
17:47:39.924387448 : vetrnik/tele/stats/energy_Ws 3166
17:47:39.924410874 : vetrnik/tele/pump 0
17:47:39.924435430 : vetrnik/tele/display/backlight 1
17:47:40.605945441 : vetrnik/tele/power_board/time 2538
17:47:41.105768530 : vetrnik/tele/power_board/power 0.0
17:47:41.105934418 : vetrnik/tele/power_board/voltage 4.8
17:47:41.606594021 : vetrnik/tele/power_board/time 2539
17:47:42.605932332 : vetrnik/tele/power_board/power 0.0
17:47:42.606086831 : vetrnik/tele/power_board/time 2540
17:47:42.606250423 : vetrnik/tele/power_board/voltage 4.7
17:47:42.961892053 : vetrnik/cmnd/control/strategy control_MQTT
17:47:42.963339452 : vetrnik/cmnd/control/contactor 1
17:47:42.963520210 : vetrnik/tele/control/strategy control_MQTT
17:47:42.965448217 : vetrnik/tele/control/contactor 5
17:47:42.965591568 : vetrnik/cmnd/power_board/sw_enable 1
17:47:42.967821073 : vetrnik/cmnd/power_board/mode start
17:47:42.967970535 : vetrnik/tele/control/contactor 4
17:47:42.969918987 : vetrnik/cmnd/power_board/duty 128
17:47:43.111974755 : vetrnik/tele/power_board/power 19.1
17:47:43.112111902 : vetrnik/tele/power_board/mode 2
17:47:43.112433845 : vetrnik/tele/power_board/duty 128
17:47:43.112754769 : vetrnik/tele/power_board/voltage 5.9
17:47:43.113121693 : vetrnik/tele/power_board/current 3.239
17:47:43.113422969 : vetrnik/tele/power_board/enabled 1
17:47:43.113798411 : vetrnik/tele/power_board/enabled/software 1
17:47:43.114137724 : vetrnik/tele/power_board/last5m 1
17:47:43.582964442 : vetrnik/cmnd/control/contactor 1
17:47:43.585140910 : vetrnik/tele/control/contactor 5
17:47:43.585276039 : vetrnik/cmnd/power_board/duty 5
17:47:43.585408612 : vetrnik/tele/control/contactor 4
17:47:43.611644494 : vetrnik/tele/power_board/power 30.4
17:47:43.611862122 : vetrnik/tele/power_board/time 2541
17:47:43.611998066 : vetrnik/tele/power_board/voltage 9.9
17:47:43.612252546 : vetrnik/tele/power_board/current 3.075
17:47:43.612587951 : vetrnik/tele/stats/energy_Ws 3175
17:47:44.109206430 : vetrnik/tele/power_board/power 5.5
17:47:44.109371448 : vetrnik/tele/power_board/duty 5
17:47:44.109691742 : vetrnik/tele/power_board/voltage 10.5
17:47:44.110038444 : vetrnik/tele/power_board/current 0.533
17:47:44.110375256 : vetrnik/tele/stats/energy_Ws 3190
17:47:44.609172519 : vetrnik/tele/power_board/power 1.3
17:47:44.609369999 : vetrnik/tele/power_board/time 2542
17:47:44.609573942 : vetrnik/tele/power_board/voltage 10.6
17:47:44.609918700 : vetrnik/tele/power_board/current 0.123
17:47:44.610237124 : vetrnik/tele/stats/energy_Ws 3192
17:47:45.108940887 : vetrnik/tele/power_board/power 0.8
17:47:45.109158071 : vetrnik/tele/power_board/current 0.082
17:47:45.608448849 : vetrnik/tele/power_board/time 2543
17:47:46.109091396 : vetrnik/tele/power_board/power 1.3
17:47:46.109292229 : vetrnik/tele/power_board/current 0.123
17:47:46.609255317 : vetrnik/tele/power_board/time 2544
17:47:47.609348180 : vetrnik/tele/power_board/time 2545
17:47:48.609661448 : vetrnik/tele/power_board/time 2546
