datetime,amplitude,frequencies,RPM1,RPM2,RPM3,RPM4,RPM5
2024-06-30 22:03:08.742834,4.5,1.0,13,9,9,9,9
2024-06-30 22:03:14.809333,4.5,2.0,33,33,19,19,19
2024-06-30 22:03:20.676530,4.5,4.0,43,39,39,39,39
2024-06-30 22:03:26.537270,4.5,6.0,59,59,59,59,59
2024-06-30 22:03:32.405925,4.5,10.0,99,99,99,99,99
2024-06-30 22:03:38.273071,4.5,12.0,119,119,119,119,119
2024-06-30 22:03:44.136235,4.5,15.0,149,149,149,149,149
2024-06-30 22:03:49.991906,4.5,19.0,189,189,189,189,189
2024-06-30 22:03:55.856881,4.5,23.0,172,229,200,229,200
2024-06-30 22:04:01.712002,4.5,28.0,0,0,0,0,0
2024-06-30 22:04:07.582373,4.5,35.0,0,0,0,0,0
2024-06-30 22:04:13.456064,4.5,43.0,0,0,0,0,0
2024-06-30 22:04:19.330581,4.5,53.0,0,0,0,0,0
2024-06-30 22:04:25.204625,4.5,65.0,0,0,0,0,0
2024-06-30 22:04:31.074336,4.5,80.0,0,0,0,0,0
2024-06-30 22:04:36.941706,4.5,84.0,0,0,0,0,0
2024-06-30 22:04:42.808656,4.5,88.0,0,0,0,0,0
2024-06-30 22:04:48.673641,4.5,92.0,0,0,0,0,0
2024-06-30 22:04:54.532360,4.5,96.0,0,0,0,0,0
2024-06-30 22:05:00.392177,4.5,100.0,0,0,0,0,0
2024-06-30 22:05:06.263155,4.5,104.0,0,0,0,0,0
2024-06-30 22:05:12.121617,4.5,108.0,0,0,0,0,0
2024-06-30 22:05:17.990800,4.5,112.0,0,0,0,0,0
2024-06-30 22:05:23.856224,4.5,116.0,0,0,0,0,0
2024-06-30 22:05:29.721674,4.5,120.0,0,0,0,0,0
2024-06-30 22:05:35.581453,4.5,124.0,0,0,0,0,0
2024-06-30 22:05:41.445301,4.5,128.0,0,0,0,0,0
2024-06-30 22:05:47.305986,4.5,132.0,0,0,0,0,0
2024-06-30 22:05:53.174959,4.5,136.0,0,0,0,0,0
2024-06-30 22:05:59.040446,4.5,140.0,0,0,0,0,0
2024-06-30 22:06:04.911814,4.5,144.0,0,0,0,0,0
2024-06-30 22:06:10.784829,4.5,148.0,0,0,0,0,0
2024-06-30 22:06:16.667804,5.0,1.0,31,26,26,9,9
2024-06-30 22:06:22.736618,5.0,2.0,35,26,19,19,19
2024-06-30 22:06:28.613960,5.0,4.0,43,39,39,39,39
2024-06-30 22:06:34.472779,5.0,6.0,59,59,59,59,59
2024-06-30 22:06:40.342700,5.0,10.0,99,99,99,99,99
2024-06-30 22:06:46.212260,5.0,12.0,119,119,119,119,119
2024-06-30 22:06:52.068243,5.0,15.0,149,149,149,149,149
2024-06-30 22:06:57.930179,5.0,19.0,191,191,191,191,191
2024-06-30 22:07:03.798374,5.0,23.0,229,229,229,229,229
2024-06-30 22:07:09.675376,5.0,28.0,279,279,279,279,279
2024-06-30 22:07:15.537425,5.0,35.0,349,349,349,349,349
2024-06-30 22:07:21.398971,5.0,43.0,349,0,0,0,0
2024-06-30 22:07:27.270509,5.0,53.0,0,0,0,0,0
2024-06-30 22:07:33.132269,5.0,65.0,0,0,0,0,0
2024-06-30 22:07:39.003107,5.0,80.0,0,0,0,0,0
2024-06-30 22:07:44.864189,5.0,84.0,0,0,0,0,0
2024-06-30 22:07:50.727074,5.0,88.0,0,0,0,0,0
2024-06-30 22:07:56.588485,5.0,92.0,0,0,0,0,0
2024-06-30 22:08:02.448206,5.0,96.0,0,0,0,0,0
2024-06-30 22:08:08.320593,5.0,100.0,0,0,0,0,0
2024-06-30 22:08:14.180173,5.0,104.0,0,0,0,0,0
2024-06-30 22:08:20.039424,5.0,108.0,0,0,0,0,0
2024-06-30 22:08:25.902058,5.0,112.0,0,0,0,0,0
2024-06-30 22:08:31.768720,5.0,116.0,0,0,0,0,0
2024-06-30 22:08:37.623959,5.0,120.0,0,0,0,0,0
2024-06-30 22:08:43.497264,5.0,124.0,0,0,0,0,0
2024-06-30 22:08:49.362828,5.0,128.0,0,0,0,0,0
2024-06-30 22:08:55.226977,5.0,132.0,0,0,0,0,0
2024-06-30 22:09:01.091863,5.0,136.0,0,0,0,0,0
2024-06-30 22:09:06.958144,5.0,140.0,0,0,0,0,0
2024-06-30 22:09:12.817001,5.0,144.0,0,0,0,0,0
2024-06-30 22:09:18.674457,5.0,148.0,0,0,0,0,0
2024-06-30 22:09:24.595734,6.0,1.0,38,9,9,9,9
2024-06-30 22:09:30.668149,6.0,2.0,35,26,19,19,19
2024-06-30 22:09:36.529079,6.0,4.0,39,39,39,39,39
2024-06-30 22:09:42.391741,6.0,6.0,100,59,59,59,59
2024-06-30 22:09:48.266169,6.0,10.0,99,99,99,99,99
2024-06-30 22:09:54.128121,6.0,12.0,119,119,119,119,119
2024-06-30 22:09:59.993837,6.0,15.0,149,149,149,149,149
