22:03:06.735291217 : vetrnik/tele/availability online
22:03:06.735477049 : vetrnik/tele/power_board/valid 1
22:03:06.735509326 : vetrnik/tele/power_board/time 17864
22:03:06.735534474 : vetrnik/tele/power_board/mode 0
22:03:06.735558863 : vetrnik/tele/power_board/duty 0
22:03:06.735582270 : vetrnik/tele/power_board/RPM 100
22:03:06.735605918 : vetrnik/tele/power_board/voltage 0.0
22:03:06.735629714 : vetrnik/tele/power_board/current 0.000
22:03:06.735653344 : vetrnik/tele/power_board/enabled 0
22:03:06.735677196 : vetrnik/tele/power_board/enabled/hardware 1
22:03:06.735701640 : vetrnik/tele/power_board/enabled/software 0
22:03:06.735725658 : vetrnik/tele/power_board/fan 0
22:03:06.735749251 : vetrnik/tele/power_board/error_count 0
22:03:06.735772528 : vetrnik/tele/power_board/emergency 0
22:03:06.735795954 : vetrnik/tele/power_board/OCP_max_duty 255
22:03:06.735818935 : vetrnik/tele/power_board/temperature/heatsink 24.7
22:03:06.735842009 : vetrnik/tele/power_board/temperature/rectifier 24.7
22:03:06.735864935 : vetrnik/tele/power_board/power 0.0
22:03:06.735887565 : vetrnik/tele/power_board/last5m 0
22:03:06.735910361 : vetrnik/tele/control/strategy control_shorted
22:03:06.735933083 : vetrnik/tele/control/contactor 255
22:03:06.735955712 : vetrnik/tele/stats/energy 0.001
22:03:06.735978564 : vetrnik/tele/stats/energy_Ws 2536
22:03:06.736001323 : vetrnik/tele/pump 0
22:03:06.736025342 : vetrnik/tele/display/backlight 1
22:03:07.579833322 : vetrnik/tele/power_board/time 17865
22:03:08.078540983 : vetrnik/tele/power_board/RPM 0
22:03:08.578421266 : vetrnik/tele/power_board/time 17866
22:03:09.578476219 : vetrnik/tele/power_board/time 17867
22:03:09.578653570 : vetrnik/tele/power_board/RPM 4
22:03:10.079221385 : vetrnik/tele/power_board/RPM 13
22:03:10.579587017 : vetrnik/tele/power_board/time 17868
22:03:11.078716397 : vetrnik/tele/power_board/RPM 9
22:03:11.578562179 : vetrnik/tele/power_board/time 17869
22:03:12.577928357 : vetrnik/tele/power_board/time 17870
22:03:13.578446582 : vetrnik/tele/power_board/time 17871
22:03:14.577860258 : vetrnik/tele/power_board/time 17872
22:03:15.579189644 : vetrnik/tele/power_board/time 17873
22:03:15.579293995 : vetrnik/tele/power_board/RPM 28
22:03:16.079205368 : vetrnik/tele/power_board/RPM 33
22:03:16.579729256 : vetrnik/tele/power_board/time 17874
22:03:17.579396503 : vetrnik/tele/power_board/time 17875
22:03:17.579641576 : vetrnik/tele/power_board/RPM 26
22:03:18.078940248 : vetrnik/tele/power_board/RPM 19
22:03:18.579583820 : vetrnik/tele/power_board/time 17876
22:03:19.578990086 : vetrnik/tele/power_board/time 17877
22:03:20.579459363 : vetrnik/tele/power_board/time 17878
22:03:21.578891553 : vetrnik/tele/power_board/time 17879
22:03:21.579049533 : vetrnik/tele/power_board/RPM 34
22:03:22.079589512 : vetrnik/tele/power_board/RPM 43
22:03:22.579133589 : vetrnik/tele/power_board/time 17880
22:03:22.579295551 : vetrnik/tele/power_board/RPM 39
22:03:23.579784937 : vetrnik/tele/power_board/time 17881
22:03:24.579094849 : vetrnik/tele/power_board/time 17882
22:03:25.579703418 : vetrnik/tele/power_board/time 17883
22:03:26.579182216 : vetrnik/tele/power_board/time 17884
22:03:27.079752508 : vetrnik/tele/power_board/RPM 97
22:03:27.580604168 : vetrnik/tele/power_board/time 17885
22:03:27.580800315 : vetrnik/tele/power_board/RPM 147
22:03:28.079183823 : vetrnik/tele/power_board/RPM 59
22:03:28.579019027 : vetrnik/tele/power_board/time 17886
22:03:29.579314633 : vetrnik/tele/power_board/time 17887
22:03:30.578797761 : vetrnik/tele/power_board/time 17888
22:03:31.579393957 : vetrnik/tele/power_board/time 17889
22:03:32.579747357 : vetrnik/tele/power_board/time 17890
22:03:33.079515837 : vetrnik/tele/power_board/RPM 96
22:03:33.579317761 : vetrnik/tele/power_board/time 17891
22:03:33.579598074 : vetrnik/tele/power_board/RPM 99
22:03:34.579704975 : vetrnik/tele/power_board/time 17892
22:03:35.578998305 : vetrnik/tele/power_board/time 17893
22:03:36.579707386 : vetrnik/tele/power_board/time 17894
22:03:37.578892716 : vetrnik/tele/power_board/time 17895
22:03:38.580375273 : vetrnik/tele/power_board/time 17896
22:03:38.580606882 : vetrnik/tele/power_board/RPM 134
22:03:39.080016622 : vetrnik/tele/power_board/RPM 148
22:03:39.580922223 : vetrnik/tele/power_board/time 17897
22:03:39.581124203 : vetrnik/tele/power_board/RPM 119
22:03:40.580190273 : vetrnik/tele/power_board/time 17898
22:03:41.580452298 : vetrnik/tele/power_board/time 17899
22:03:42.580156789 : vetrnik/tele/power_board/time 17900
22:03:43.580452720 : vetrnik/tele/power_board/time 17901
22:03:44.579975284 : vetrnik/tele/power_board/time 17902
