datetime,time,energy_Ws_vetrnik,voltage_vetrnik,current_vetrnik,power_vetrnik,voltage_dmm,current_dmm,voltage_dmm_V,current_dmm_A,duration,power_dmm,energy_Ws_dmm
2024-07-04 16:54:33.008086,1192,0.0,10.3,0.0,0.0, OVLOAD    V DC   , 00.000e00 A DC   ,,0.0,0.997626,,
2024-07-04 16:54:34.005712,1193,0.0,10.5,0.0,0.0, OVLOAD    V DC   , 00.000e00 A DC   ,,0.0,0.999737,,
2024-07-04 16:54:35.005449,1194,0.0,10.5,0.0,0.0, OVLOAD    V DC   , 00.000e00 A DC   ,,0.0,0.998184,,
2024-07-04 16:54:36.003633,1195,0.0,10.5,0.0,0.0, 10.713e00 V DC   , 00.000e00 A DC   ,10.713,0.0,0.999894,0.0,0.0
2024-07-04 16:54:37.003527,1196,0.0,10.5,0.0,0.0, 10.665e00 V DC   , 00.000e00 A DC   ,10.665,0.0,1.000543,0.0,0.0
2024-07-04 16:54:38.004070,1197,0.0,10.5,0.0,0.0, 10.665e00 V DC   , 00.000e00 A DC   ,10.665,0.0,0.999808,0.0,0.0
2024-07-04 16:54:39.003878,1198,0.0,10.5,0.0,0.0, 10.665e00 V DC   , 00.000e00 A DC   ,10.665,0.0,1.000897,0.0,0.0
2024-07-04 16:54:40.004775,1199,0.0,10.5,0.0,0.0, 10.665e00 V DC   , 00.000e00 A DC   ,10.665,0.0,1.002683,0.0,0.0
2024-07-04 16:54:41.007458,1200,0.0,10.5,0.0,0.0, 10.666e00 V DC   , 00.000e00 A DC   ,10.666,0.0,0.998798,0.0,0.0
2024-07-04 16:54:42.006256,1201,0.0,10.0,0.0,0.0, 10.210e00 V DC   , 00.000e00 A DC   ,10.21,0.0,0.997369,0.0,0.0
2024-07-04 16:54:43.003625,1202,0.0,10.2,0.369,3.7, 10.452e00 V DC   , 00.001e00 A DC   ,10.452,0.001,0.999873,0.010452,0.010450672595999999
2024-07-04 16:54:44.003498,1203,1.0,10.3,0.0,0.0, 10.667e00 V DC   , 00.000e00 A DC   ,10.667,0.0,1.000812,0.0,0.010450672595999999
2024-07-04 16:54:45.004310,1204,1.0,10.5,0.0,0.0, 10.666e00 V DC   , 00.000e00 A DC   ,10.666,0.0,0.999225,0.0,0.010450672595999999
2024-07-04 16:54:46.003535,1205,1.0,10.5,0.0,0.0, 10.666e00 V DC   , 00.000e00 A DC   ,10.666,0.0,1.000661,0.0,0.010450672595999999
