16:54:31.475280350 : vetrnik/tele/availability online
16:54:31.475410367 : vetrnik/tele/power_board/valid 1
16:54:31.475437201 : vetrnik/tele/power_board/time 1190
16:54:31.475460960 : vetrnik/tele/power_board/mode 0
16:54:31.475483867 : vetrnik/tele/power_board/duty 0
16:54:31.475506608 : vetrnik/tele/power_board/RPM 0
16:54:31.475528978 : vetrnik/tele/power_board/voltage 0.0
16:54:31.475551589 : vetrnik/tele/power_board/current 0.000
16:54:31.475574144 : vetrnik/tele/power_board/enabled 0
16:54:31.475596774 : vetrnik/tele/power_board/enabled/hardware 1
16:54:31.475620033 : vetrnik/tele/power_board/enabled/software 0
16:54:31.475642736 : vetrnik/tele/power_board/fan 0
16:54:31.475665033 : vetrnik/tele/power_board/error_count 0
16:54:31.475687310 : vetrnik/tele/power_board/emergency 0
16:54:31.475709643 : vetrnik/tele/power_board/OCP_max_duty 255
16:54:31.475731847 : vetrnik/tele/power_board/temperature/heatsink 24.8
16:54:31.475754199 : vetrnik/tele/power_board/temperature/rectifier 25.0
16:54:31.475776569 : vetrnik/tele/power_board/power 0.0
16:54:31.475798865 : vetrnik/tele/power_board/last5m 0
16:54:31.475820995 : vetrnik/tele/control/strategy control_shorted
16:54:31.475843198 : vetrnik/tele/control/contactor 255
16:54:31.475865309 : vetrnik/tele/stats/energy 0.000
16:54:31.475887568 : vetrnik/tele/stats/energy_Ws 0
16:54:31.475909698 : vetrnik/tele/pump 0
16:54:31.475932012 : vetrnik/tele/display/backlight 1
16:54:31.475954012 : vetrnik/cmnd/control/strategy control_MQTT
16:54:31.475976123 : vetrnik/cmnd/control/contactor 1
16:54:31.475998308 : vetrnik/tele/control/strategy control_MQTT
16:54:31.476020438 : vetrnik/cmnd/power_board/duty 255
16:54:31.476042623 : vetrnik/tele/control/contactor 5
16:54:31.476064715 : vetrnik/tele/control/contactor 4
16:54:31.476087937 : vetrnik/cmnd/power_board/sw_enable 1
16:54:31.496542607 : vetrnik/tele/power_board/time 1191
16:54:31.958739954 : vetrnik/cmnd/power_board/mode start
16:54:31.999883589 : vetrnik/tele/power_board/duty 255
16:54:32.000306809 : vetrnik/tele/power_board/enabled 1
16:54:32.000376605 : vetrnik/tele/power_board/enabled/software 1
16:54:32.499041504 : vetrnik/tele/power_board/power 0.0
16:54:32.499191355 : vetrnik/tele/power_board/time 1192
16:54:32.499564427 : vetrnik/tele/power_board/mode 2
