datetime,time,energy_Ws_vetrnik,voltage_vetrnik,current_vetrnik,power_vetrnik,voltage_dmm,current_dmm,voltage_dmm_V,current_dmm_A,duration,power_dmm,energy_Ws_dmm
2024-07-04 17:24:34.873608,2994,4615.7,9.9,0.041,0.4, OVLOAD    V DC   , 00.071e00 A DC   ,,0.071,1.12994,,
2024-07-04 17:24:36.003548,2995,4616.2,10.0,0.041,0.4, OVLOAD    V DC   , 00.074e00 A DC   ,,0.074,1.000005,,
2024-07-04 17:24:37.003553,2996,4616.5,10.0,0.041,0.4, OVLOAD    V DC   , 00.074e00 A DC   ,,0.074,1.002061,,
2024-07-04 17:24:38.005614,2997,4616.9,10.0,0.041,0.4, 10.139e00 V DC   , 00.074e00 A DC   ,10.139,0.074,1.001461,0.7502859999999999,0.7513821678459999
2024-07-04 17:24:39.007075,2998,4618.8,9.9,0.205,2.0, 10.270e00 V DC   , 00.376e00 A DC   ,10.27,0.376,1.000302,3.86152,4.614068346886
2024-07-04 17:24:40.007377,2999,4619.9,10.0,0.041,0.4, 10.270e00 V DC   , 00.076e00 A DC   ,10.27,0.076,0.996426,0.78052,5.391798768406001
2024-07-04 17:24:41.003803,3000,4620.1,10.0,0.0,0.0, 10.201e00 V DC   , 00.057e00 A DC   ,10.201,0.057,0.99991,0.581457,5.973203437276001
2024-07-04 17:24:42.003713,3001,4620.1,10.3,0.0,0.0, 10.621e00 V DC   , 00.001e00 A DC   ,10.621,0.001,1.0002,0.010621,5.983826561476001
2024-07-04 17:24:43.003913,3002,4620.1,10.5,0.0,0.0, 10.672e00 V DC   , 00.001e00 A DC   ,10.672,0.001,0.999671,0.010672000000000001,5.994495050388001
2024-07-04 17:24:44.003584,3003,4620.1,10.5,0.0,0.0, 10.672e00 V DC   , 00.001e00 A DC   ,10.672,0.001,1.000459,0.010672000000000001,6.005171948836001
2024-07-04 17:24:45.004043,3004,4620.1,10.5,0.0,0.0, 10.672e00 V DC   , 00.001e00 A DC   ,10.672,0.001,0.999537,0.010672000000000001,6.0158390077
2024-07-04 17:24:46.003580,3005,4620.1,10.0,0.082,0.8, 10.523e00 V DC   , 00.001e00 A DC   ,10.523,0.001,0.999845,0.010523,6.026360376635
2024-07-04 17:24:47.003425,3006,4621.5,9.9,0.246,2.4, 10.089e00 V DC   , 00.282e00 A DC   ,10.089,0.282,1.001561,2.8450979999999997,8.875899574613
2024-07-04 17:24:48.004986,3007,4624.5,9.9,0.41,4.0, 10.046e00 V DC   , 00.468e00 A DC   ,10.046,0.468,0.998332,4.701528,13.569585425908999
