22:11:07.063303575 : vetrnik/tele/availability online
22:11:07.063486611 : vetrnik/tele/power_board/valid 1
22:11:07.063516630 : vetrnik/tele/power_board/time 1349
22:11:07.063541648 : vetrnik/tele/power_board/mode 0
22:11:07.063565296 : vetrnik/tele/power_board/duty 0
22:11:07.063588833 : vetrnik/tele/power_board/RPM 0
22:11:07.063612037 : vetrnik/tele/power_board/voltage 0.0
22:11:07.063635240 : vetrnik/tele/power_board/current 0.000
22:11:07.063658647 : vetrnik/tele/power_board/enabled 0
22:11:07.063682184 : vetrnik/tele/power_board/enabled/hardware 1
22:11:07.063705758 : vetrnik/tele/power_board/enabled/software 0
22:11:07.063729721 : vetrnik/tele/power_board/fan 0
22:11:07.063753591 : vetrnik/tele/power_board/error_count 0
22:11:07.063776943 : vetrnik/tele/power_board/emergency 0
22:11:07.063800147 : vetrnik/tele/power_board/OCP_max_duty 255
22:11:07.063823776 : vetrnik/tele/power_board/temperature/heatsink 25.1
22:11:07.063847980 : vetrnik/tele/power_board/temperature/rectifier 24.6
22:11:07.063872165 : vetrnik/tele/power_board/power 0.0
22:11:07.063895683 : vetrnik/tele/power_board/last5m 0
22:11:07.063919294 : vetrnik/tele/control/strategy control_shorted
22:11:07.063943461 : vetrnik/tele/control/contactor 255
22:11:07.063968238 : vetrnik/tele/stats/energy 0.000
22:11:07.063992942 : vetrnik/tele/stats/energy_Ws 0
22:11:07.064017682 : vetrnik/tele/pump 0
22:11:07.064044812 : vetrnik/tele/display/backlight 1
22:11:07.997731372 : vetrnik/tele/power_board/time 1350
22:11:08.926370201 : vetrnik/cmnd/control/strategy control_MQTT
22:11:08.929805385 : vetrnik/tele/control/strategy control_MQTT
22:11:08.929936718 : vetrnik/cmnd/control/contactor 1
22:11:08.931719281 : vetrnik/tele/control/contactor 5
22:11:08.932940478 : vetrnik/tele/control/contactor 4
22:11:08.933072551 : vetrnik/cmnd/power_board/duty 0
22:11:08.936676623 : vetrnik/cmnd/power_board/sw_enable 1
22:11:08.997276527 : vetrnik/tele/power_board/time 1351
22:11:09.440006290 : vetrnik/cmnd/power_board/mode start
22:11:09.498011340 : vetrnik/tele/power_board/enabled 1
22:11:09.498204320 : vetrnik/tele/power_board/enabled/software 1
22:11:09.997699288 : vetrnik/tele/power_board/time 1352
22:11:09.997900120 : vetrnik/tele/power_board/mode 2
22:11:10.545541806 : vetrnik/cmnd/control/contactor 1
22:11:10.547412629 : vetrnik/tele/control/contactor 5
22:11:10.548005884 : vetrnik/cmnd/power_board/duty 0
22:11:10.548129698 : vetrnik/tele/control/contactor 4
22:11:10.999339819 : vetrnik/tele/power_board/power 0.0
22:11:10.999523447 : vetrnik/tele/power_board/time 1353
22:11:10.999776279 : vetrnik/tele/power_board/voltage 1.5
22:11:11.499084507 : vetrnik/tele/power_board/power 0.0
22:11:11.499321264 : vetrnik/tele/power_board/voltage 1.9
22:11:11.998550363 : vetrnik/tele/power_board/power 0.0
22:11:11.998759843 : vetrnik/tele/power_board/time 1354
22:11:11.998963619 : vetrnik/tele/power_board/voltage 2.1
